step_index,ego_x,ego_y,ego_yaw,ego_speed_mps,active_source_lane_id,active_target_lane_id,downstream_status,intervention_rate,terminated,truncated,termination_reason
42,-3003.48291015625,-2444.383544921875,-3.1080164909362793,12.469139409682139,623,608,OK,0.0,False,False,none
43,-3004.729736328125,-2444.42529296875,-3.1077749729156494,12.482417751167404,623,608,OK,0.0,False,False,none
44,-3005.977783203125,-2444.467529296875,-3.1087653636932373,12.492529399411636,623,608,OK,0.0,False,False,none
45,-3007.226806640625,-2444.508544921875,-3.1034908294677734,12.500049656569818,623,608,OK,0.0,False,False,none
46,-3008.47607421875,-2444.55615234375,-3.1073975563049316,12.506270649361046,623,608,OK,0.0,False,False,none
47,-3009.726318359375,-2444.598876953125,-3.106116533279419,12.512188190891763,623,608,OK,0.0,False,False,none
48,-3010.97705078125,-2444.643310546875,-3.1076176166534424,12.517515863769924,623,608,OK,0.0,False,False,none
49,-3012.228271484375,-2444.685791015625,-3.110765218734741,12.52255900729537,623,608,OK,0.0,False,False,none
50,-3013.480224609375,-2444.724365234375,-3.1066131591796875,12.527683922429143,623,608,OK,0.0,False,False,none
51,-3014.732421875,-2444.76806640625,-3.109646797180176,12.533110944022786,623,608,OK,0.0,False,False,none
52,-3015.9853515625,-2444.80810546875,-3.112814426422119,12.537913979161605,623,608,OK,0.0,False,False,none
53,-3017.23876953125,-2444.84423828125,-3.1124918460845947,12.542449394656282,623,608,OK,0.0,False,False,none
54,-3018.49267578125,-2444.880615234375,-3.118065118789673,12.547793783282344,623,608,OK,0.0,False,False,none
55,-3019.747314453125,-2444.91015625,-3.119126319885254,12.553351228147816,623,608,OK,0.0,False,False,none
56,-3021.002685546875,-2444.9384765625,-3.119657039642334,12.559478073963021,623,608,OK,0.0,False,False,none
57,-3022.258544921875,-2444.966064453125,-3.1203691959381104,12.566774015066706,623,608,OK,0.0,False,False,none
58,-3023.515380859375,-2444.99267578125,-3.1227805614471436,12.574865442973378,623,608,OK,0.0,False,False,none
59,-3024.773193359375,-2445.016357421875,-3.1229846477508545,12.583309453745942,623,608,OK,0.0,False,False,none
60,-3026.03173828125,-2445.039794921875,-3.1188697814941406,12.59142056891796,623,608,OK,0.0,True,False,success
