step,ego_x,ego_y,frenet_d_target_frame,frenet_s_d_target_frame,downstream_status_after_step
0,159.16439819335938,-1123.8260498046875,-2.7147847896458135,3.263096279337877,OK
1,159.0928497314453,-1124.6815185546875,-2.0248990033451113,2.727058470191,OK
2,159.15423583984375,-1125.486083984375,-1.309600013078579,2.3809259674434093,PLANNER_INFEASIBLE
3,159.3209228515625,-1126.2188720703125,-0.6008435884884227,2.6842541179121095,PLANNER_INFEASIBLE
4,159.47430419921875,-1126.89306640625,0.0038281917700195007,3.03703834399386,PLANNER_INFEASIBLE
5,159.6143798828125,-1127.5087890625,0.5521699810356704,3.4141801578603124,PLANNER_INFEASIBLE
6,159.74114990234375,-1128.0660400390625,1.0484365201504562,3.7222859098396333,OK
7,159.85557556152344,-1128.5689697265625,1.447551193559622,3.376352371447716,PLANNER_INFEASIBLE
8,160.0255889892578,-1128.99658203125,1.8401028627457185,3.524088872618775,PLANNER_INFEASIBLE
9,160.17343139648438,-1129.368408203125,2.172271005884449,3.8574744715551383,PLANNER_INFEASIBLE
10,160.29910278320312,-1129.6845703125,2.425520353802512,3.6504108359236254,PLANNER_INFEASIBLE
11,160.40260314941406,-1129.9449462890625,2.6340874625735013,3.256692472859984,PLANNER_INFEASIBLE
12,160.48394775390625,-1130.1495361328125,2.7870745699210753,2.8448132128191563,PLANNER_INFEASIBLE
13,160.54312133789062,-1130.29833984375,2.8855678873076043,2.0406540100354356,PLANNER_INFEASIBLE
14,160.5801239013672,-1130.3914794921875,2.9471829950441637,1.132459490723993,PLANNER_INFEASIBLE
15,160.59495544433594,-1130.4288330078125,2.9718856933632556,0.08042138549473056,PLANNER_INFEASIBLE
16,160.58763122558594,-1130.410400390625,2.959690629969987,0.39426370711063746,PLANNER_INFEASIBLE
17,160.55813598632812,-1130.3363037109375,2.9106173569267857,0.07956808174961962,PLANNER_INFEASIBLE
18,160.54330444335938,-1130.299072265625,2.885948858375347,0.38919381011144044,PLANNER_INFEASIBLE
19,160.51380920410156,-1130.2249755859375,2.836875585332146,0.07852181364562433,PLANNER_INFEASIBLE
20,160.4989776611328,-1130.187744140625,2.812207086780644,0.3840186826113429,PLANNER_INFEASIBLE
21,160.469482421875,-1130.1136474609375,2.7631338137374697,0.07745431475746219,PLANNER_INFEASIBLE
