step,ego_x,ego_y,frenet_d_target_frame,frenet_s_d_target_frame,downstream_status_after_step
61,159.58294677734375,-1127.8870849609375,0.8096199995948595,0.04246703209143225,PLANNER_INFEASIBLE
62,159.568115234375,-1127.849853515625,0.7721614398783659,0.20743332869763845,PLANNER_INFEASIBLE
63,159.5386199951172,-1127.7757568359375,0.6976276159958505,0.041736632390211734,PLANNER_INFEASIBLE
64,159.52378845214844,-1127.738525390625,0.6601690562793568,0.20384071605894225,PLANNER_INFEASIBLE
65,159.49429321289062,-1127.6644287109375,0.5856352323968607,0.041003620735942936,PLANNER_INFEASIBLE
66,159.47946166992188,-1127.627197265625,0.5481766726803671,0.20023534670392348,PLANNER_INFEASIBLE
67,159.44996643066406,-1127.5531005859375,0.47364284879770335,0.040268043001805344,PLANNER_INFEASIBLE
68,159.4351348876953,-1127.515869140625,0.43618428908137724,0.19661744626304023,PLANNER_INFEASIBLE
69,159.4056396484375,-1127.4417724609375,0.36165046519869426,0.03952994522156822,PLANNER_INFEASIBLE
70,159.39080810546875,-1127.404541015625,0.3241919054823682,0.19298724115096788,PLANNER_INFEASIBLE
